,success
sagent-pharmaceuticals,1
green-dot-corporation,1
practo-technologies-pvt-ltd,0
definiens,1
faction-skis,1
the-totus-group,0
spensa-technologies,1
hookit,0
maps-indeed,0
daegis,1
bitboys-oy,1
hightower-advisors,0
loyalty-lab,1
korrio,0
towermetrix,0
britebill,0
whitehatt-technologies,0
oesia,0
somedia-bbn3,1
hyperion-solutions,1
valencell,1
coworks,0
gear6,1
priva-security-corporation,0
cuculus,0
kaj-hospitality,0
igate-patni-computers,1
osix,0
sansa-security,1
carlson-wireless,1
55tuan-com,0
fantasy-shopper,0
novatel-wireless,1
process-system-enterprise,0
cantimer,0
creative-byline,0
9star-research,0
identrust,0
huy-vietnam,0
niti-surgical-solutions,0
qustodian,0
smithers-avanza,0
cakefinancial,1
smart-eye,0
naubo,0
my-dentist,1
bluepay,0
symmetric-computing,0
sr-labs,0
mywedding,0
marginleft,0
orabrush,1
diamond-multimedia,1
leapforce,0
hiperscan,0
videonext,0
q2ebanking,1
proclarity-corporation,1
musicshake,1
smava,0
cantex-pharmaceuticals,0
8020publishing,0
presidio,1
itdatabase,1
parking-in-motion,1
istante-software,1
invism,0
luxul-technology,0
doublepositive,1
vascular-graft-solutions,1
byallaccounts,1
onedrum,1
prosperity-financial-services-pte-ltd,0
thinkeco,1
avazu-inc,0
fluxdrive,0
enure-networks,0
i-dispo,0
the-codemasters-software-company,0
opensky,1
onsite-care,0
epicforce,0
kampyle,0
biotalk-technologies,0
insly,0
shine-medical-technologies,1
clearpath-robotics,0
compete,1
x-plus-two-solutions,0
lexar-media,1
new-relic,1
covacsis,0
isis,1
kwhours,0
mobaloo,0
touchring-tr,0
protein-lounge,0
digital-magics,0
fabrik,1
virtual-expert-clinics,1
mediastream,0
stroz-friedberg,0
edgar-online,1
hyperactive-technologies,1
nevada-copper,0
vasona-networks,0
amaranth-medical,0
endocyte,1
ad2games,1
songza,1
fab-solutions-company,0
metis-secure-solutions,1
aum-cardiovascular,0
sio2-nanotech,0
socialmadesimple,0
intuary,0
newcomlink,0
arrington-management-services,0
my6sense,1
hatchtech,0
sparkroom,1
greenqloud,0
benchee,0
bilende-technologies,0
businesselite,0
quisic,0
sidekick-games,0
99bill,1
rsi-content-solutions,0
romans-group,0
xronet,0
gettaxi,1
eyelock,0
giftindia24x7-com,0
banyan-biomarkers,0
commercetools,1
global-silicon,0
nutrisystem,1
avantis-medical-systems,1
cognitum,0
sterling-investments-3,0
mundi,0
peptivir,0
yougov,0
ambient-industries,0
myoptique-group,1
andrew-michaels-ltd,0
evena-medical,0
rib-software,1
adeze,0
whitecloud-analytics,0
menlook,0
smartclip-llc,1
vigilistics,0
the-kitchen-hotline,0
cogentus-pharmaceuticals,0
adslot,1
weblink-international,1
bidmodo,0
hollywood-vision-center,0
clk-design-automation,0
cloudflare,1
spinealign-medical,0
the-catch-group,0
illumitex,1
libra-entertainment,0
actinium-pharmaceuticals,1
accuris-networks,0
tengrade,0
transmex-systems-international,0
wool-and-the-gang,0
standard-renewable-energy,1
advanced-manufacturing-control-systems,1
skelta-software,0
e-contratos,0
purephoto,0
greenleaf-trust,0
birddog-solutions,0
daily-secret,1
netwolves,0
mobisante,0
kingland-companies,1
connectbeam,0
esoko,0
gopicnic,0
kitenga,1
alliance-card,0
edicia,0
rise-medical-staffing,0
afab-solutions,0
greenbutton,1
santevet,0
zympi,0
power2switch,1
yurbuds,1
arrive-technologies,0
amoeba,0
apenimed,1
newton-peripherals,0
own-free-website,0
sparta-systems,1
qe-ventures,0
zink-imaging,0
digidentity,0
tongal,0
klickthru,0
exercise-com,0
tearlab-corporation,1
mashwork,0
alterpoint,1
lewis-tank-transport,0
imindi,0
document-agility,0
visible-markets,0
aldexa-therapeutics,0
nusirt,1
netsocket,1
verteego,1
secure-outcomes,0
danotek-motion-technologies,0
creditease,0
micro-interventional-devices,0
secure-software,1
new-mexico-algae-production,0
smit-ovens,0
dresser-mouldings,0
autism-home-support-services,0
liveleaf,0
newfield-design,0
kiip,1
stardoll,0
offermatica,1
generationone,0
lifeline-ventures,0
topokine-therapeutics,0
view2gether,0
tbricks,0
ncircle-network-security,1
bitrock,0
conversant-bio,0
bluegrass-vascular-technologies,0
market-force-information,0
tribold,1
patent-safari,0
whale-communications,1
gridx,0
percuvision,0
litchy-electric,0
visual-iq,0
intra-cellular-therapies,0
brownstein-egusa,0
qello,0
netseer,0
pingigoen,0
ageia-technologies,1
american-dental-partners,1
tamarac,1
become,1
emotion,1
spiralfrog,1
unveil,0
seventymm,0
thoughtful-media,0
guard-rfid-solutions,0
legend-power-systems,0
uchi-navi,0
citizenhawk,1
syncrophi-systems,0
teachthepeople,0
nicepeopleatwork,0
ajaline,0
benaissance,1
paymetric,1
pro-stream,0
scaleout-software,0
nallatech,1
agsquared,0
applied-solar-technologies,0
presto-engineering,0
diyseo,1
myriant-technologies,0
techtium,0
envysion,1
edusoft,1
escapeer-com,1
studentbox,0
storm-media-innovations-inc,0
recon-instruments,1
mozido,1
cellarstone,0
powerhouse-dynamics,1
draftstreet,1
clickpass,1
pathways-platform,0
pearescope,0
cognitens,1
jellycoaster-inc,0
derbysoft,1
baypackets,0
prepchamps,0
majeska-associates,0
whosay,1
dnage,0
io-solar,0
fly-media,0
fanfueled,0
tapclicks,0
tibco-software-inc,1
eyetechcare,0
odeo,1
catalytic-solutions,0
solasta,0
1-800-doctors,0
raise-marketplace,1
small-bone-innovations,1
media-chaperone,0
lang,0
phonetime,0
best-learning-english,0
drivable,0
smoltek,0
jimdo,0
natural-restoration-partners,0
meditrina-pharmaceuticals-inc,0
sampa,0
ucb-pharma,0
og-vegas,0
sigma-force,0
xtreme-installs,0
beibamboo,0
rvue,1
ascent-corporation,0
clark-enterprises-2000-inc,0
graffiti,0
ventiva,0
zooplus,1
perkstreet-financial,0
neuro-kinetics,0
kublax,0
converged-access,0
pinpointe,0
clicker,1
adyapper-com,0
simperium,1
arradiance,0
birdpost,0
uro-jock,0
clicktrue,0
cyclewood-solutions,0
liibook,0
trident-university,0
sotoasobi,0
keyon-communications-holdings,1
byline,0
endgenitor-technologies,0
groupe-athena,0
bluespec,1
international-stem-cell-corporation,0
dataxu,1
jobapp,0
